iter	MultiClass
0	2.142931469
1	1.999044453
2	1.886031436
3	1.792097671
4	1.69889407
5	1.621741466
6	1.548490443
7	1.483552449
8	1.424643861
9	1.377638465
10	1.333018132
11	1.292425007
12	1.251757812
13	1.220071727
14	1.182325345
15	1.151136953
16	1.111888674
17	1.086015244
18	1.060258793
19	1.034043309
20	1.010065803
21	0.9863963159
22	0.9650192552
23	0.9481353155
24	0.9302915566
25	0.9126895882
26	0.8946542711
27	0.877581166
28	0.8636471547
29	0.8455512182
30	0.8323740329
31	0.8183068693
32	0.8051957747
33	0.7922849467
34	0.7824037436
35	0.7705357305
36	0.7579589046
37	0.7475552341
38	0.7337089672
39	0.7240129014
40	0.7142248415
41	0.7044705758
42	0.6957676217
43	0.6854069964
44	0.675787418
45	0.668218721
46	0.6585556538
47	0.6507061465
48	0.6423178237
49	0.6339574431
50	0.6280254625
51	0.6207583851
52	0.6144442812
53	0.6061127579
54	0.5995900363
55	0.5931144932
56	0.5877325754
57	0.582818139
58	0.5764291418
59	0.5709336725
60	0.5642787738
61	0.5584397845
62	0.5531768851
63	0.5463978215
64	0.5409111345
65	0.5365448171
66	0.5342071146
67	0.5305397602
68	0.5266867256
69	0.5203107682
70	0.5161034927
71	0.5113867985
72	0.5069077342
73	0.5029292773
74	0.4994012748
75	0.4962715398
76	0.4927344333
77	0.4894786264
78	0.4867747991
79	0.4820633919
80	0.4777902345
81	0.4749902279
82	0.4710833504
83	0.4682071474
84	0.4645197646
85	0.4615441795
86	0.4585989746
87	0.4557197765
88	0.452789247
89	0.4503169134
90	0.4478080384
91	0.4457546191
92	0.4428616972
93	0.4388568455
94	0.4358728059
95	0.4340438724
96	0.4327431779
97	0.4291496011
98	0.4272582417
99	0.4245186804
100	0.4220570874
101	0.42044295
102	0.4188899082
103	0.4155627806
104	0.4123803451
105	0.4102451644
106	0.407579003
107	0.4048085454
108	0.4012678793
109	0.3989948306
110	0.396665487
111	0.395350895
112	0.39190626
113	0.3892919836
114	0.3877419177
115	0.3865480564
116	0.3847418027
117	0.3826554677
118	0.3813809445
119	0.3799963085
120	0.3766009307
121	0.3749092506
122	0.3734130344
123	0.3698546858
124	0.3679168986
125	0.3664845033
126	0.3648770743
127	0.3626609295
128	0.3607657441
129	0.3597088111
130	0.358085316
131	0.3565026039
132	0.3550725958
133	0.3529448473
134	0.3517986669
135	0.3510572735
136	0.348854633
137	0.3476406989
138	0.3469428033
139	0.3447901042
140	0.3429363261
141	0.3415300217
142	0.3401943664
143	0.3387129836
144	0.3369614877
145	0.3358924891
146	0.3349507949
147	0.3340391468
148	0.3326204233
149	0.331420804
150	0.3303632071
151	0.3286627097
152	0.3272887309
153	0.3258443668
154	0.3243865363
155	0.3224336781
156	0.3213374472
157	0.3205476167
158	0.3193980299
159	0.3176280733
160	0.3166836204
161	0.3148804127
162	0.3131534727
163	0.3125372278
164	0.3109499683
165	0.3103810158
166	0.3094588057
167	0.3082143249
168	0.3066948472
169	0.3051901314
170	0.3031159223
171	0.3023142819
172	0.3009638123
173	0.2998002828
174	0.2987793534
175	0.2972209724
176	0.2960549451
177	0.2949082575
178	0.2931112672
179	0.291339522
180	0.2903969469
181	0.2891905802
182	0.2883384726
183	0.2873989072
184	0.2867176417
185	0.2856569873
186	0.2845486199
187	0.2832924653
188	0.2824078917
189	0.2814675201
190	0.279827427
191	0.2780019129
192	0.2770622345
193	0.2762595006
194	0.2751255361
195	0.2740251769
196	0.2734201158
197	0.2725207292
198	0.2714610541
199	0.2699168724
