iter	Passed	Remaining
0	8	1715
1	15	1505
2	22	1474
3	28	1408
4	36	1413
5	43	1405
6	49	1378
7	56	1361
8	64	1363
9	71	1364
10	78	1352
11	87	1365
12	96	1381
13	103	1371
14	110	1357
15	117	1349
16	124	1339
17	132	1344
18	141	1345
19	148	1336
20	155	1327
21	163	1319
22	170	1311
23	177	1301
24	184	1291
25	190	1277
26	198	1268
27	205	1261
28	212	1253
29	220	1247
30	227	1241
31	234	1230
32	241	1222
33	248	1211
34	256	1209
35	263	1198
36	270	1192
37	278	1185
38	285	1177
39	291	1167
40	299	1159
41	305	1150
42	312	1140
43	319	1134
44	327	1127
45	335	1124
46	342	1115
47	349	1106
48	356	1100
49	364	1093
50	371	1084
51	379	1079
52	385	1070
53	392	1062
54	399	1053
55	406	1045
56	414	1039
57	421	1030
58	428	1022
59	435	1015
60	441	1006
61	448	997
62	455	991
63	463	985
64	471	978
65	477	970
66	484	961
67	491	953
68	498	945
69	504	937
70	511	930
71	519	922
72	526	915
73	534	909
74	540	901
75	547	892
76	554	885
77	561	878
78	568	870
79	575	863
80	582	855
81	589	848
82	595	840
83	602	832
84	610	825
85	616	817
86	623	810
87	631	803
88	637	795
89	643	787
90	651	780
91	658	773
92	665	765
93	672	758
94	679	751
95	685	742
96	692	735
97	699	727
98	706	720
99	713	713
100	720	706
101	727	698
102	733	691
103	740	683
104	747	676
105	753	668
106	760	661
107	768	654
108	775	647
109	781	639
110	789	633
111	796	625
112	803	618
113	810	611
114	817	604
115	824	597
116	831	589
117	837	582
118	844	574
119	852	568
120	858	560
121	866	553
122	873	546
123	879	539
124	886	532
125	893	524
126	900	517
127	907	510
128	914	503
129	922	496
130	928	489
131	935	482
132	943	475
133	950	468
134	957	461
135	964	454
136	971	446
137	977	439
138	984	432
139	991	424
140	998	417
141	1005	410
142	1012	403
143	1019	396
144	1027	389
145	1034	382
146	1040	375
147	1047	368
148	1055	361
149	1065	355
150	1072	348
151	1079	341
152	1086	333
153	1093	326
154	1101	319
155	1107	312
156	1115	305
157	1122	298
158	1130	291
159	1136	284
160	1144	277
161	1152	270
162	1159	263
163	1166	256
164	1173	248
165	1180	241
166	1187	234
167	1194	227
168	1201	220
169	1209	213
170	1216	206
171	1223	199
172	1230	191
173	1237	184
174	1243	177
175	1251	170
176	1258	163
177	1266	156
178	1272	149
179	1280	142
180	1286	135
181	1293	127
182	1301	120
183	1308	113
184	1315	106
185	1322	99
186	1330	92
187	1337	85
188	1345	78
189	1352	71
190	1359	64
191	1365	56
192	1372	49
193	1379	42
194	1386	35
195	1393	28
196	1400	21
197	1407	14
198	1414	7
199	1421	0
