features,model,n_features,cv_mean,cv_std,train_mean,fit_time,fold_scores,error
all_57,LogReg L2,57,0.707,0.01691153452528775,0.8915,0.02746434211730957,"[0.685, 0.715, 0.73, 0.715, 0.69]",
all_57,LogReg L1 (Lasso),57,0.715,0.030495901363953807,0.8792500000000001,4.018104457855225,"[0.665, 0.73, 0.74, 0.745, 0.695]",
all_57,Decision Tree,57,0.5119999999999999,0.033704599092705415,0.9914999999999999,0.029373788833618165,"[0.465, 0.495, 0.53, 0.565, 0.505]",
all_57,Random Forest,57,0.711,0.030232432915661956,0.9992500000000002,0.4259848117828369,"[0.695, 0.685, 0.705, 0.77, 0.7]",
all_57,Bagging+DT,57,0.6859999999999999,0.035552777669262334,0.9992500000000002,0.42087483406066895,"[0.645, 0.665, 0.715, 0.74, 0.665]",
all_57,Bagging+LogReg,57,0.716,0.019849433241279225,0.8997499999999998,1.5291791439056397,"[0.695, 0.7, 0.75, 0.725, 0.71]",
all_57,AdaBoost,57,0.6239999999999999,0.033970575502926086,0.8265,1.2192754745483398,"[0.595, 0.605, 0.66, 0.67, 0.59]",
all_57,HistGradBoost,57,0.744,0.03852272056851645,0.9992500000000002,2.3001169681549074,"[0.685, 0.725, 0.775, 0.795, 0.74]",
all_57,XGBoost,57,0.724,0.021307275752662537,0.9992500000000002,2.7712626457214355,"[0.705, 0.71, 0.75, 0.75, 0.705]",
all_57,LightGBM,57,0.749,0.040669398815325546,0.9992500000000002,1.087801218032837,"[0.725, 0.715, 0.785, 0.81, 0.71]",
all_57,CatBoost,57,0.722,0.030757112998459426,0.983,8.850485277175903,"[0.71, 0.7, 0.725, 0.78, 0.695]",
all_57,Perceptron,57,0.5970000000000001,0.042614551505325046,0.7115,0.008980703353881837,"[0.57, 0.57, 0.635, 0.66, 0.55]",
all_57,"MLP (200,100,50)",57,0.6970000000000001,0.03906404996924921,0.9077500000000001,0.33753180503845215,"[0.68, 0.695, 0.7, 0.765, 0.645]",
mi_10,LogReg L2,10,0.544,0.015297058540778338,0.58375,0.3713174819946289,"[0.53, 0.53, 0.535, 0.565, 0.56]",
mi_10,LogReg L1 (Lasso),10,0.5509999999999999,0.015937377450509195,0.5977499999999999,0.9286845684051513,"[0.545, 0.525, 0.565, 0.55, 0.57]",
mi_10,Decision Tree,10,0.484,0.040049968789001585,0.98325,0.33576092720031736,"[0.475, 0.495, 0.485, 0.545, 0.42]",
mi_10,Random Forest,10,0.603,0.016911534525287777,0.9992500000000002,0.6781256198883057,"[0.585, 0.585, 0.605, 0.63, 0.61]",
mi_10,Bagging+DT,10,0.589,0.018000000000000016,0.9992500000000002,0.5158729076385498,"[0.59, 0.58, 0.62, 0.59, 0.565]",
mi_10,Bagging+LogReg,10,0.549,0.009695359714832668,0.5865,1.1443001747131347,"[0.545, 0.535, 0.545, 0.56, 0.56]",
mi_10,AdaBoost,10,0.526,0.02497999199359358,0.65625,0.6482404708862305,"[0.505, 0.515, 0.545, 0.565, 0.5]",
