Модель,Лучший набор,CV-acc лучший,CV-acc baseline,Δ vs all_57,std по 16 наборам,Чувствительность
CatBoost,all_57,0.722,0.722,+0.000,0.043,высокая
Random Forest,all_57,0.711,0.711,+0.000,0.039,высокая
"MLP (200,100,50)",pca_50,0.714,0.697,+0.017,0.051,высокая
HistGradBoost,all_57,0.744,0.744,+0.000,0.056,высокая
LightGBM,all_57,0.749,0.749,+0.000,0.052,высокая
XGBoost,all_57,0.724,0.724,+0.000,0.047,высокая
Bagging+LogReg,all_57,0.716,0.716,+0.000,0.064,высокая
LogReg L1 (Lasso),all_57,0.715,0.715,+0.000,0.061,высокая
LogReg L2,all_57,0.707,0.707,+0.000,0.062,высокая
Bagging+DT,consensus_27,0.687,0.686,+0.001,0.037,высокая
AdaBoost,lda_9,0.646,0.624,+0.022,0.046,высокая
Perceptron,lda_9,0.604,0.597,+0.007,0.086,высокая
Decision Tree,lda_9,0.572,0.512,+0.060,0.027,средняя
